month,monthly_bias,monthly_abs_error
1,-17.96163034439087,17.96163034439087
2,-8.760344552993777,8.771305433909099
3,-8.685193185011547,8.685193185011547
4,-8.507936863104502,8.507936863104502
5,-7.33607809940974,7.403916482130687
6,3.252893010775248,3.2586511135101315
7,-0.8655385136604311,1.7727002263069156
8,-0.2872063080469771,2.1033330122629805
9,16.473257295290626,16.473257295290626
10,13.687613201141355,13.687613201141355
11,-1.620541055997214,4.460096526145935
12,-4.454954743385316,6.994127058982849
